name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;777;0;638;3079;979;3079;1002;0
header;147;149;147;185;1783;185;1783;149
A;957;214;957;242;979;242;979;214
A;977;368;977;369;979;369;979;368
A;978;396;978;396;979;396;979;396
A;978;436;978;438;980;438;980;436
A;975;676;975;677;978;677;978;676
B;957;867;957;894;977;894;977;867
A;974;1376;974;1376;974;1376;974;1376
C;951;1540;951;1569;971;1569;971;1540
A;974;2042;974;2042;974;2042;974;2042
A;972;2114;972;2114;973;2114;973;2114
A;975;2188;975;2188;975;2188;975;2188
D;952;2211;952;2239;973;2239;973;2211
B;820;2316;820;2333;836;2333;836;2316
